type,x,y,name,color
flower,20,25,rose,red
flower,20,26,rose,red
flower,21,25,rose,red
flower,21,26,rose,red
flower,15,20,daisy,yellow
flower,15,21,daisy,yellow
flower,16,20,daisy,yellow
flower,16,21,daisy,yellow
flower,24,20,lily,purple
flower,24,21,lily,purple
flower,25,20,lily,purple
flower,25,21,lily,purple
flower,19,14,tulip,orange
flower,19,15,tulip,orange
flower,20,14,tulip,orange
flower,20,15,tulip,orange
tree,18,14,apple,green
tree,18,15,apple,green
tree,18,16,apple,green
tree,19,14,apple,green
tree,19,15,apple,green
tree,19,16,apple,green
tree,20,14,apple,green
tree,20,15,apple,green
tree,20,16,apple,green
water,18,17,water1,blue
water,18,18,water1,blue
water,18,19,water1,blue
water,19,17,water1,blue
water,19,18,water1,blue
water,19,19,water1,blue
water,20,17,water1,blue
water,20,18,water1,blue
water,20,19,water1,blue
building,30,15,building1,gray
building,30,16,building1,gray
building,30,17,building1,gray
building,30,18,building1,gray
building,31,19,building1,gray
building,32,20,building1,gray
building,32,21,building1,gray
building,32,23,building1,gray